Timestamp,Temperatura,Temp_Suavizada
2025-02-18 17:49:27,23.5,23.5
2025-02-18 17:49:42,23.8,23.59
2025-02-18 17:49:58,23.8,23.653
2025-02-18 17:50:13,23.8,23.6971
2025-02-18 17:50:28,23.8,23.72797
2025-02-18 17:50:44,23.4,23.629579
2025-02-18 17:50:59,23.0,23.440705299999998
2025-02-18 17:51:14,23.0,23.308493709999997
2025-02-18 17:51:29,25.3,23.905945596999995
2025-02-18 17:51:45,28.5,25.284161917899993
2025-02-18 17:52:00,27.6,25.978913342529992
2025-02-18 17:52:15,26.2,26.045239339770994
2025-02-18 17:52:31,25.3,25.821667537839694
2025-02-18 17:52:46,24.8,25.515167276487787
2025-02-18 17:53:01,24.5,25.21061709354145
2025-02-18 17:53:17,24.1,24.877431965479015
2025-02-18 17:53:32,23.8,24.55420237583531
2025-02-18 17:53:47,23.8,24.327941663084715
2025-02-18 17:54:03,23.4,24.049559164159298
2025-02-18 17:54:18,23.4,23.854691414911507
2025-02-18 17:54:33,23.4,23.718283990438053
2025-02-18 17:54:48,23.4,23.622798793306636
2025-02-18 17:55:04,26.7,24.54595915531464
2025-02-18 17:55:19,26.7,25.19217140872025
